h1_err  h2_err h1+h2_err h1-h2_err
0.000000 0.000000 0.000000 0.000000
72.263405 72.020828 144.284241 0.242577
45.133137 44.237991 89.371124 0.895145
38.013157 39.484173 77.497330 -1.471016
39.862263 40.583248 80.445511 -0.720985
42.930176 42.649734 85.579910 0.280441
46.270943 45.989128 92.260071 0.281815
48.887627 48.600410 97.488037 0.287216
49.939964 51.380932 101.320892 -1.440968
53.094257 54.267853 107.362106 -1.173595
55.623737 55.901699 111.525436 -0.277962
56.745045 57.131428 113.876472 -0.386383
58.189346 59.539902 117.729248 -1.350555
58.983047 60.033325 119.016373 -1.050278
59.958321 58.983047 118.941368 0.975273
61.432892 60.679485 122.112381 0.753407
59.824745 60.365555 120.190300 -0.540810
61.822327 61.269894 123.092224 0.552433
63.118935 62.297672 125.416611 0.821262
61.733295 62.561970 124.295265 -0.828674
61.180061 61.457302 122.637360 -0.277241
61.204575 60.249481 121.454056 0.955093
60.016663 60.373837 120.390503 -0.357174
58.957611 58.872746 117.830353 0.084866
59.933296 59.194595 119.127892 0.738701
59.050827 58.702641 117.753464 0.348186
58.240879 58.034473 116.275352 0.206406
56.293873 57.131428 113.425301 -0.837555
56.700970 56.026779 112.727753 0.674191
55.253960 57.306194 112.560150 -2.052235
54.451813 55.308228 109.760040 -0.856415
54.046276 53.721504 107.767776 0.324772
53.244717 52.754147 105.998863 0.490570
51.526691 52.801514 104.328201 -1.274822
51.903755 51.691391 103.595146 0.212364
51.516987 49.879856 101.396843 1.637131
50.467812 50.059963 100.527771 0.407848
48.249352 48.114449 96.363800 0.134903
47.874836 47.444706 95.319542 0.430130
47.560490 46.743984 94.304474 0.816505
45.793011 45.188496 90.981506 0.604515
45.321075 46.572525 91.893600 -1.251450
43.634850 43.335896 86.970749 0.298954
42.708313 42.720020 85.428329 -0.011707
40.074928 40.447498 80.522430 -0.372570
40.261642 40.422768 80.684410 -0.161125
39.153545 38.807217 77.960762 0.346329
38.144463 35.930489 74.074951 2.213974
36.414284 35.397739 71.812027 1.016544
35.227829 35.623028 70.850861 -0.395199
33.421551 33.301651 66.723206 0.119900
32.526913 33.436508 65.963425 -0.909595
31.559467 30.495901 62.055367 1.063566
30.967726 29.732138 60.699863 1.235588
28.687977 28.982754 57.670731 -0.294777
27.422619 28.231188 55.653809 -0.808569
26.286879 26.702061 52.988937 -0.415182
24.939928 25.865034 50.804962 -0.925106
24.535688 24.145393 48.681084 0.390295
23.664320 23.895607 47.559929 -0.231287
23.622025 23.537205 47.159229 0.084820
21.213203 22.203604 43.416809 -0.990400
20.880613 20.856653 41.737267 0.023960
21.071308 20.736441 41.807747 0.334867
20.493902 19.313208 39.807110 1.180695
20.346991 19.416489 39.763481 0.930502
18.814888 19.442223 38.257111 -0.627335
17.748240 19.183327 36.931564 -1.435087
18.547237 17.492855 36.040092 1.054382
18.193405 16.643316 34.836723 1.550089
17.175564 17.663521 34.839085 -0.487957
16.970562 16.186415 33.156975 0.784147
16.031219 16.062378 32.093597 -0.031158
16.643316 15.811388 32.454704 0.831928
15.231546 15.329710 30.561256 -0.098164
14.000000 15.905973 29.905973 -1.905973
14.832397 15.620500 30.452896 -0.788103
14.000000 14.142136 28.142136 -0.142136
13.379088 14.933185 28.312273 -1.554096
13.341664 13.490738 26.832401 -0.149074
14.212670 13.228757 27.441427 0.983913
12.489996 13.228757 25.718754 -0.738761
11.357817 11.489125 22.846943 -0.131309
12.727922 13.341664 26.069588 -0.613742
11.704700 12.041595 23.746294 -0.336895
11.401754 12.247449 23.649204 -0.845695
11.045361 10.770329 21.815689 0.275031
10.148891 10.630146 20.779037 -0.481255
11.445523 12.409674 23.855198 -0.964150
11.045361 12.000000 23.045361 -0.954639
10.770329 10.344080 21.114410 0.426250
11.789826 10.862781 22.652607 0.927046
9.219544 10.246951 19.466496 -1.027407
8.306623 8.888194 17.194817 -0.581571
9.899495 9.165152 19.064648 0.734344
10.535654 9.273619 19.809273 1.262035
10.630146 8.124039 18.754185 2.506107
9.273619 9.219544 18.493164 0.054074
8.660254 9.380832 18.041086 -0.720577
8.602325 8.485281 17.087606 0.117044
9.433981 9.165152 18.599133 0.268829
8.185352 9.165152 17.350504 -0.979799
7.937254 7.745967 15.683221 0.191287
8.306623 7.937254 16.243877 0.369370
6.782330 8.000000 14.782330 -1.217670
7.810250 8.124039 15.934288 -0.313789
8.246211 8.660254 16.906466 -0.414043
7.141428 6.164414 13.305842 0.977015
7.615773 8.185352 15.801126 -0.569579
7.348469 7.615773 14.964243 -0.267304
7.416198 6.855655 14.271852 0.560544
8.306623 7.615773 15.922397 0.690850
7.937254 6.480741 14.417994 1.456513
6.708204 7.615773 14.323977 -0.907569
7.071068 7.141428 14.212496 -0.070361
6.928203 6.633250 13.561453 0.294953
6.708204 7.000000 13.708204 -0.291796
6.403124 6.324555 12.727680 0.078569
5.916080 6.403124 12.319204 -0.487044
6.164414 5.916080 12.080494 0.248334
6.244998 5.916080 12.161077 0.328918
6.000000 6.164414 12.164413 -0.164414
5.385165 5.477226 10.862391 -0.092061
4.795832 6.928203 11.724035 -2.132371
5.567764 5.291502 10.859266 0.276262
6.324555 5.567764 11.892320 0.756791
6.244998 5.567764 11.812762 0.677234
5.830952 5.567764 11.398716 0.263187
5.385165 5.385165 10.770329 0.000000
5.291502 5.744563 11.036065 -0.453060
