h1_err  h2_err h1+h2_err h1-h2_err
0.000000 0.000000 0.000000 0.000000
272.824127 272.930389 545.754517 -0.106262
189.573212 189.129578 378.702789 0.443634
148.677505 150.246460 298.923950 -1.568954
127.890579 128.195160 256.085754 -0.304581
114.092072 114.581848 228.673920 -0.489777
104.732994 105.118980 209.851974 -0.385986
95.801880 97.272812 193.074692 -1.470932
88.780632 89.755226 178.535858 -0.974594
83.510475 84.486687 167.997162 -0.976212
78.415558 78.402809 156.818359 0.012749
75.019997 74.054031 149.074036 0.965965
70.540771 71.498253 142.039032 -0.957481
67.156532 67.609169 134.765701 -0.452637
64.876808 64.992310 129.869110 -0.115501
61.595455 62.305698 123.901154 -0.710243
60.216278 59.808025 120.024307 0.408253
57.183914 57.801384 114.985298 -0.617470
55.217751 56.338264 111.556015 -1.120514
52.573757 53.263496 105.837250 -0.689739
51.293274 52.554733 103.848007 -1.261459
49.809639 49.849773 99.659409 -0.040134
48.744232 48.425201 97.169434 0.319031
47.423622 47.254631 94.678253 0.168991
45.110973 45.022217 90.133194 0.088757
44.045429 44.170124 88.215553 -0.124695
43.116123 44.124825 87.240952 -1.008701
41.581245 42.426407 84.007652 -0.845161
41.146080 41.641327 82.787407 -0.495247
39.635841 39.344631 78.980469 0.291210
37.202152 38.755646 75.957794 -1.553493
38.144463 38.223030 76.367493 -0.078568
35.185223 35.958309 71.143532 -0.773087
34.842503 36.373066 71.215569 -1.530563
33.837849 35.651089 69.488937 -1.813240
34.234486 33.852623 68.087112 0.381863
32.619015 32.357380 64.976395 0.261635
31.811947 33.136082 64.948029 -1.324135
30.610456 31.352831 61.963287 -0.742374
29.799330 31.000000 60.799332 -1.200670
29.240383 29.308702 58.549088 -0.068319
28.548204 28.879059 57.427261 -0.330854
28.565714 27.856777 56.422493 0.708937
27.622454 27.892651 55.515106 -0.270197
26.153393 27.294687 53.448082 -1.141294
26.795523 26.267851 53.063374 0.527672
25.357445 24.758837 50.116280 0.598608
24.248711 24.289915 48.538628 -0.041204
24.269321 23.366642 47.635963 0.902679
22.135944 22.158520 44.294464 -0.022575
21.166010 22.847319 44.013329 -1.681309
22.158520 21.142374 43.300896 1.016146
19.974985 20.099751 40.074738 -0.124765
20.346991 19.672316 40.019306 0.674675
18.654758 20.024984 38.679741 -1.370226
18.165901 19.052559 37.218460 -0.886658
18.574175 18.574175 37.148350 0.000000
16.031219 17.832554 33.863773 -1.801334
17.262676 16.613247 33.875923 0.649429
17.088007 16.278820 33.366829 0.809187
16.248077 15.874508 32.122585 0.373569
16.093477 16.186415 32.279892 -0.092937
14.000000 16.309507 30.309507 -2.309507
13.964240 15.297058 29.261299 -1.332818
14.317822 14.247807 28.565628 0.070015
13.564660 12.845233 26.409893 0.719427
14.212670 14.106736 28.319407 0.105934
12.961481 13.601471 26.562952 -0.639990
13.379088 12.727922 26.107010 0.651166
12.165525 12.767145 24.932671 -0.601620
13.038404 13.038404 26.076809 0.000000
11.180340 12.529964 23.710304 -1.349625
10.723805 11.313708 22.037514 -0.589903
11.532562 11.224972 22.757534 0.307590
11.832160 11.357817 23.189976 0.474343
11.269427 11.180340 22.449768 0.089087
10.049875 10.392304 20.442181 -0.342429
10.198039 11.135529 21.333569 -0.937490
10.295630 9.539392 19.835022 0.756238
9.848858 9.797959 19.646816 0.050899
9.797959 9.949874 19.747833 -0.151915
9.949874 9.695360 19.645233 0.254514
9.746795 9.486833 19.233627 0.259962
10.198039 9.486833 19.684872 0.711206
9.949874 9.165152 19.115025 0.784722
8.660254 8.426149 17.086403 0.234105
8.774964 8.485281 17.260246 0.289683
8.185352 8.544003 16.729355 -0.358651
9.110434 8.000000 17.110434 1.110434
8.426149 8.185352 16.611502 0.240797
8.246211 8.944272 17.190483 -0.698061
8.062258 8.062258 16.124516 0.000000
7.745967 7.071068 14.817035 0.674899
7.745967 8.124039 15.870006 -0.378072
8.246211 8.124039 16.370251 0.122172
6.928203 7.071068 13.999271 -0.142865
6.855655 6.633250 13.488905 0.222405
7.280110 7.416198 14.696308 -0.136088
7.681146 7.071068 14.752213 0.610078
6.244998 6.164414 12.409412 0.080584
7.071068 5.916080 12.987148 1.154988
6.244998 7.071068 13.316066 -0.826070
7.000000 7.348469 14.348469 -0.348469
5.567764 6.164414 11.732178 -0.596650
6.403124 7.280110 13.683234 -0.876986
6.082763 6.928203 13.010965 -0.845440
6.557438 6.928203 13.485641 -0.370765
6.480741 6.324555 12.805296 0.156185
5.000000 6.082763 11.082763 -1.082763
6.000000 6.000000 12.000000 0.000000
5.830952 6.244998 12.075950 -0.414046
5.385165 4.898980 10.284144 0.486185
5.567764 5.291502 10.859266 0.276262
4.582576 6.082763 10.665339 -1.500187
5.744563 5.830952 11.575514 -0.086389
4.795832 5.196152 9.991983 -0.400321
4.898980 4.582576 9.481556 0.316404
5.000000 5.744563 10.744562 -0.744563
5.567764 5.567764 11.135529 0.000000
4.123106 5.000000 9.123106 -0.876894
5.099020 5.099020 10.198039 0.000000
5.099020 5.477226 10.576245 -0.378206
6.082763 4.795832 10.878594 1.286931
4.472136 4.582576 9.054712 -0.110440
4.898980 4.472136 9.371116 0.426844
3.316625 4.795832 8.112456 -1.479207
3.605551 5.477226 9.082777 -1.871675
4.795832 3.872983 8.668816 0.922848
3.741657 4.898980 8.640637 -1.157322
2.449490 4.000000 6.449490 -1.550510
